usda_id,name,calories,protein,fat,carbohydrates,fiber,sugar,calcium,iron,potassium,sodium,vitamin_c,vitamin_a,vitamin_e,saturated_fat,cholesterol,common_weight_1,common_serving_1,common_weight_2,common_serving_2
20325,"CORNMEAL,SELF-RISING,DEGERMED, enriched, WHITE",355,8.41,1.72,74.79,7.1,,350,4.73,170,1348,0,0,,0.234,0,138,1 cup,,
20025,"CORNMEAL,SELF-RISING,DEGERMED, enriched, yellow",355,8.41,1.72,74.79,7.1,,350,4.73,170,1348,0,214,,0.234,0,138,1 cup,,
35136,"CORNMEAL,WHITE (NAVAJO)",398,10.99,5.04,77.14,10.4,1.46,11,3.79,443,4,0,,0.37,0.853,,,,,
20320,"CORNMEAL,WHOLE-GRAIN,WHITE",362,8.12,3.59,76.89,7.3,0.64,6,3.45,287,35,0,3,0.42,0.505,0,122,1 cup,,
20020,"CORNMEAL,WHOLE-GRAIN,yellow",362,8.12,3.59,76.89,7.3,0.64,6,3.45,287,35,0,214,0.42,0.505,0,122,1 cup,,
35137,"CORNMEAL,yellow (NAVAJO)",384,9.85,5.88,72.9,9.4,1.56,6,2.99,322,4,0,,0.37,1.043,,,,,
20027,CORNSTARCH,381,0.26,0.05,91.27,0.9,0,2,0.47,3,9,0,0,0,0.009,0,128,1 cup,,
12008,"COTTONSEED flour,low fat (GLANDLESS)",332,49.83,1.41,36.1,,,474,12.58,1761,35,2.4,432,0.31,22,0,28.35,1 oz,,
12007,"COTTONSEED flour,PART DEFATTED (GLANDLESS)",359,40.96,6.2,40.54,3,,478,12.66,1772,35,2.4,434,1.588,22,0,94,1 cup,5,1 tbsp
12160,"COTTONSEED kernels,RSTD (GLANDLESS)",506,32.59,36.29,21.9,5.5,,100,5.4,1350,25,9,442,9.699,22,0,149,1 cup,10,1 tbsp
12011,"COTTONSEED MEAL,PART DEFATTED (GLANDLESS)",367,49.1,4.77,38.43,,,504,13.35,1869,37,2.5,458,1.207,23,0,28.35,1 oz,,
20029,"COUSCOUS,COOKED",112,3.79,0.16,23.22,1.4,0.1,8,0.38,58,5,0,0,0.13,0.029,0,157,"1 cup, cooked",528,"1 cup, dry, yields"
20028,"COUSCOUS,DRY",376,12.76,0.64,77.43,5,,24,1.08,166,10,0,0,,0.117,0,173,1 cup,,
18214,"CRACKERS,CHEESE,REGULAR",489,10.93,22.74,59.42,2.3,4.53,136,4.88,156,973,0,156,0,5.288,3,14.2,.5 oz,62,"1 cup, bite size"
18215,"CRACKERS,cheese,SANDWICH-TYPE with peanut BUTTER FILLING",496,12.41,25.12,56.74,3.4,6.98,50,2.72,218,829,0,2,0,4.406,0,14.2,.5 oz,83,"1 cup, crushed"
18216,"CRACKERS,CRISPBREAD,RYE",366,7.9,1.3,82.2,16.5,1.07,31,2.43,319,410,0,0,0,0.145,0,14.2,.5 oz,55,"1 cup, crushed"
18218,"CRACKERS,MATZO,EGG",391,12.3,2.1,78.6,2.8,,40,2.7,150,21,0.1,42,,0.548,83,14.2,.5 oz,28,1 matzo
18217,"CRACKERS,MATZO,PLAIN",395,10,1.4,83.7,3,0.29,13,3.16,112,0,0,0,0,0.226,0,14.2,.5 oz,28,1 matzo
18219,"CRACKERS,MATZO,WHOLE-WHEAT",351,13.1,1.5,78.9,11.8,,23,4.65,316,2,0,0,,0.243,0,14.2,.5 oz,28,1 matzo
18220,"CRACKERS,MELBA TOAST,plain",390,12.1,3.2,76.6,6.3,0.94,93,3.7,202,598,0,0,0,0.445,0,14.2,.5 oz,30,"1 cup, pieces"
18221,"CRACKERS,MELBA TOAST,RYE (includes PUMPERNICKEL)",389,11.6,3.4,77.3,8,,78,3.68,193,899,0,0,,0.453,0,14.2,.5 oz,5,1 toast
18222,"CRACKERS,MELBA TOAST,WHEAT",374,12.9,2.3,76.4,7.4,,43,4.5,148,837,0,0,,0.337,0,14.2,.5 oz,5,1 toast
18223,"CRACKERS,MILK",455,7.6,15.8,69.7,1.9,16.44,172,3.58,114,592,0.2,58,0,2.633,11,14.2,.5 oz,11,1 cracker
18224,"CRACKERS,RUSK TOAST",407,13.5,7.2,72.3,,,27,2.72,245,253,0,41,,1.376,78,14.2,.5 oz,10,1 rusk
